Estado,Prevalencia_total
Aguascalientes,12.48043059
Baja California,7.786223417
Baja California Sur,6.795171202
Campeche,8.944254073
Coahuila de Zaragoza,11.57562707
Colima,9.727511715
Chiapas,7.562542151
Chihuahua,9.799865315
Distrito Federal,9.720818589
Durango,12.41452077
Guanajuato,8.785864145
Guerrero,9.204052254
Hidalgo,10.80355801
Jalisco,12.81380724
México,12.34014738
Michoacán de Ocampo,12.28364283
Morelos,9.885150596
Nayarit,9.450870821
Nuevo León,6.879280453
Oaxaca,11.29980789
Puebla,11.07882096
Querétaro,11.52443964
Quintana Roo,10.04801027
San Luis Potosí,9.01923168
Sinaloa,9.753564777
Sonora,8.735161152
Tabasco,8.068698212
Tamaulipas,8.125516773
Tlaxcala,10.02355887
Veracruz de Ignacio de la Llave,11.10683498
Yucatán,9.120738
Zacatecas,9.481943112
